,doc_id,segment_id,sender,source_language,target_language,lp,source,mt,reference,nr_words,severity,minor,major,critical,mqm,typology_error,error,start_index,end_index,model,google_mqm
0,en_de_#CLIENT-01#_default_2020-12-20-12,0,client,de,en,de_en,"Hallo, ich habe einen Artikel, der letzte Woche geliefert werden sollte und der immer noch nicht geliefert wird.","Hello, I have an item that was supposed to be delivered last week and is still not being delivered.","Hello, I have an article that was supposed to be delivered last week and which has still not been delivered.",19,,0,0,0,100.0,,,,,BJTU,0
1,en_de_#CLIENT-01#_default_2020-12-20-12,1,client,de,en,de_en,Ich habe den Chat zweimal kontaktiert und bisher nichts.,I have contacted the chat twice and so far nothing.,I contacted the chat twice and so far nothing.,10,,0,0,0,100.0,,,,,BJTU,0
2,en_de_#CLIENT-01#_default_2020-12-20-12,2,client,de,en,de_en,"Die First Lady sagte mir, dass es am Montag verschickt wird, die zweite Lady sagte mir gestern, dass sie eine E-Mail überprüfen und senden wird und sie hat nie geantwortet.","The First Lady told me that it will be sent on Monday, the Second Lady told me yesterday that she will check and send an email and she never replied.","The First Lady told me that it would be sent on Monday, the second lady told me yesterday that she would check and send an email and she never replied.",30,neutral/minor/minor/neutral/minor/minor,4,0,0,86.66666667,Source Issue/Capitalization/Capitalization/Source Issue/Capitalization/Capitalization,First Lady/First/Lady/Second Lady/Second/Lady,4/4/10/59/59/66,14/9/14/70/65/70,BJTU,-4
3,en_de_#CLIENT-01#_default_2020-12-20-12,3,client,de,en,de_en,"#ADDRESS#,","#ADDRESS#,","#ADDRESS#,",1,neutral/minor,1,0,0,0.0,Source Issue/Punctuation,",/,",9/9,10/10,BJTU,-1
4,en_de_#CLIENT-01#_default_2020-12-20-12,4,agent,en,de,en_de,Good Morning #NAME#,Guten Morgen #NAME#,Guten Morgen #NAME#,3,,0,0,0,100.0,,,,,BJTU,0
5,en_de_#CLIENT-01#_default_2020-12-20-12,5,agent,en,de,en_de,"Thanks for contacting #PRS_ORG#, you are through to #NAME#","Danke, dass Sie #PRS_ORG# kontaktiert haben. Sie sind bei #NAME#","Vielen Dank, dass du dich mit #PRS_ORG# in Verbindung gesetzt haben. Mein Name ist#NAME#",10,neutral/minor,1,0,0,90.0,Source Issue/Mistranslation,Sie sind bei/Sie sind bei,45/45,57/57,BJTU,-1
6,en_de_#CLIENT-01#_default_2020-12-20-12,6,agent,en,de,en_de,"So that I can assist you can you please provide your account details (Full Name, E-mail address, Postal Address and Order Number)","Damit ich Ihnen helfen kann, können Sie bitte Ihre Kontodaten angeben (vollständiger Name, E-Mail-Adresse, Postanschrift und Bestellnummer)","Damit ich dir weiterhelfen kann, gib bitte deinen Kontodaten an (vollständiger Name, E-Mail-Adresse, Postanschrift und Bestellnummer).",18,,0,0,0,100.0,,,,,BJTU,0
7,en_de_#CLIENT-01#_default_2020-12-20-12,7,client,de,en,de_en,Bestellnummer: #NUMBER#,Order number: #NUMBER#,Order number: #NUMBER#,3,,0,0,0,100.0,,,,,BJTU,0
8,en_de_#CLIENT-01#_default_2020-12-20-12,8,client,de,en,de_en,#ADDRESS#,#ADDRESS#,#ADDRESS#,1,,0,0,0,100.0,,,,,BJTU,0
9,en_de_#CLIENT-01#_default_2020-12-20-12,9,agent,en,de,en_de,"Thank you - so this query is with warehouse as stated in yesterdays chat, we have to await the reply to the investigation.","Vielen Dank - diese Anfrage ist also mit Lager, wie im gestrigen Chat angegeben. Wir müssen die Antwort auf die Untersuchung abwarten.","Vielen Dank - diese Anfrage ist an das Lager gerichtet, wie im gestrigen Chat angegeben, müssen wir auf die Antwort aufgrund der Untersuchung warten.",21,neutral/minor,1,0,0,95.23809524,Source Issue/Mistranslation,ist also mit/ist also mit,28/28,40/40,BJTU,-1
10,en_de_#CLIENT-01#_default_2020-12-20-12,10,agent,en,de,en_de,"As soon as we have heard back, tis is when you will be emailed","Sobald wir davon gehört haben, erhalten Sie eine E-Mail.","Sobald wir etwas gehört haben, wirst du per E-Mail benachrichtigt",9,,0,0,0,100.0,,,,,BJTU,0
